zone_geo;AGE_INF_18;AGE_18&19;AGE_20_24;AGE_25_29;AGE_30_34;AGE_35_39;AGE_40&plus;annee
Mayenne;17;38;118;102;123;78;44;2021
Meurthe-et-Moselle;55;118;468;421;393;339;137;2021
Meuse;12;23;67;79;87;53;28;2021
Morbihan;50;99;370;388;401;324;139;2021
Moselle;73;116;535;595;588;503;186;2021
Nièvre;6;19;97;89;84;71;42;2021
Nord;273;449;1789;1836;1749;1260;559;2021
Oise;73;134;473;498;595;407;206;2021
Orne;32;35;133;102;99;72;30;2021
Pas-de-Calais;159;199;834;871;870;642;274;2021
Puy-de-Dôme;70;109;424;386;383;261;111;2021
Pyrénées-Atlantiques;44;89;338;366;422;315;156;2021
Hautes-Pyrénées;24;24;110;108;118;87;49;2021
Pyrénées-Orientales;77;107;408;440;389;291;124;2021
Bas-Rhin;81;150;623;572;581;456;210;2021
Haut-Rhin;39;86;359;387;412;347;140;2021
Rhône;155;316;1454;1460;1305;1005;473;2021
Haute-Saône;14;31;129;112;145;107;38;2021
Saône-et-Loire;45;77;252;241;252;192;76;2021
Sarthe;62;76;313;271;261;229;75;2021
Savoie;34;56;211;280;291;242;127;2021
Haute-Savoie;50;119;466;585;640;491;251;2021
Paris;135;318;1649;2161;1945;1352;699;2021
Seine-Maritime;134;198;791;763;736;536;220;2021
Seine-et-Marne;151;328;1255;1421;1459;1098;509;2021
Yvelines;115;216;904;1013;969;811;428;2021
Deux-Sèvres;25;51;171;159;150;140;62;2021
Somme;65;97;370;327;294;222;95;2021
Tarn;33;62;235;232;206;230;96;2021
Tarn-et-Garonne;32;51;167;178;183;136;70;2021
Var;128;229;912;967;1064;785;375;2021
Vaucluse;65;119;490;443;483;341;183;2021
Vendée;43;58;245;288;319;238;109;2021
Vienne;37;71;244;232;192;157;66;2021
Haute-Vienne;34;84;261;248;226;141;59;2021
Vosges;24;49;184;208;173;135;44;2021
Yonne;34;41;173;185;223;154;65;2021
Territoire de Belfort;18;23;92;87;74;69;40;2021
Essonne;133;248;1108;1271;1288;966;392;2021
Hauts-de-Seine;128;239;1080;1332;1255;970;510;2021
Seine-Saint-Denis;200;403;1811;2140;1917;1393;665;2021
Val-de-Marne;164;296;1298;1498;1441;1040;540;2021
Val-d'Oise;146;287;1091;1279;1298;997;460;2021
Guadeloupe;88;205;692;755;788;534;312;2021
Martinique;72;113;421;533;483;344;130;2021
Guyane;179;214;730;763;620;441;205;2021
La Réunion;254;344;960;985;909;693;280;2021
Mayotte;138;127;311;381;284;189;74;2021
Auvergne -  Rhône-Alpes;628;1210;4922;5142;5045;3970;1839;2021
Bourgogne -  Franche-Comté;205;376;1543;1536;1533;1176;514;2021
Bretagne;219;437;1722;1723;1674;1403;646;2021
Centre -  Val de Loire;225;362;1433;1428;1436;1180;505;2021
Corse;22;45;216;272;252;210;93;2021
Grand Est;400;736;3054;3067;2998;2427;983;2021
Hauts-de-France;632;978;3820;3871;3824;2763;1246;2021
Ile-de-France;1172;2335;10196;12115;11572;8627;4203;2021
Normandie;313;473;1790;1791;1720;1283;565;2021
Nouvelle-Aquitaine;466;925;3481;3676;3629;2763;1325;2021
Occitanie;620;1019;4429;4530;4310;3444;1545;2021
Pays de la Loire;276;485;1885;1922;1925;1498;673;2021
Provence - Alpes - Côte d'Azur;599;1047;4623;4974;4995;3731;1819;2021
Ain;50;91;311;319;379;286;136;2020
Aisne;72;87;328;341;308;246;76;2020
Allier;37;57;189;193;180;126;51;2020
Alpes-de-Haute-Provence;16;39;112;110;129;108;41;2020
Hautes-Alpes;13;32;96;108;108;83;47;2020
Alpes-Maritimes;102;236;1013;1077;1021;828;389;2020
Ardèche;42;52;166;191;220;179;96;2020
Ardennes;36;39;113;146;130;96;37;2020
Ariège;19;20;102;111;110;102;49;2020
Aube;40;72;226;203;193;148;59;2020
Aude;54;77;287;301;258;191;80;2020
Aveyron;18;30;149;137;125;111;59;2020
Bouches-du-Rhône;252;548;2179;2180;2040;1546;682;2020
Calvados;70;109;360;346;368;260;131;2020
Cantal;10;12;72;74;62;63;26;2020
Charente;38;59;210;212;235;170;71;2020
Charente-Maritime;52;99;356;290;302;249;88;2020
Cher;18;41;177;157;150;102;53;2020
Corrèze;32;27;140;139;135;97;39;2020
Corse-du-Sud;13;28;88;113;133;118;70;2020
Haute-Corse;13;30;107;128;137;117;62;2020
Côte-d'Or;32;71;279;282;267;224;100;2020
Côtes-d'Armor;55;89;280;310;340;259;134;2020
Creuse;9;18;46;43;44;39;20;2020
Dordogne;54;69;247;243;284;185;105;2020
Doubs;36;89;347;303;312;262;102;2020
Drôme;42;99;301;324;361;257;133;2020
Eure;57;100;370;369;401;272;151;2020
Eure-et-Loir;38;59;242;250;282;198;113;2020
Finistère;59;138;488;432;418;337;153;2020
Gard;78;166;531;539;549;487;175;2020
Haute-Garonne;118;233;1241;1323;1110;807;375;2020
Gers;11;19;76;79;97;76;24;2020
Gironde;142;296;1227;1164;1230;853;407;2020
Hérault;145;261;1050;1096;982;680;335;2020
Ille-et-Vilaine;69;122;623;553;554;461;201;2020
Indre;14;39;106;105;115;76;21;2020
Indre-et-Loire;33;102;344;332;297;232;92;2020
Isère;100;200;786;837;737;607;296;2020
Jura;22;29;121;137;146;97;45;2020
Landes;28;60;198;222;262;187;93;2020
Loir-et-Cher;25;42;127;144;161;125;50;2020
Loire;60;105;415;428;447;322;137;2020
Haute-Loire;9;30;87;98;115;78;48;2020
Loire-Atlantique;117;208;833;888;814;661;278;2020
Loiret;90;110;423;489;452;302;155;2020
Lot;17;29;72;113;105;82;31;2020
Lot-et-Garonne;33;48;232;237;207;167;78;2020
Lozère;8;22;36;39;40;43;22;2020
Maine-et-Loire;64;106;405;386;376;302;115;2020
Manche;30;57;205;218;211;166;64;2020
Marne;47;92;368;384;339;238;83;2020
Haute-Marne;17;24;96;80;70;73;28;2020
Mayenne;16;29;118;110;113;75;44;2020
Meurthe-et-Moselle;64;110;486;442;444;305;116;2020
Meuse;13;12;63;69;89;50;27;2020
Morbihan;63;94;376;334;373;303;146;2020
Moselle;62;140;538;629;627;454;177;2020
Nièvre;8;17;83;101;68;61;26;2020
Nord;295;486;1889;1855;1652;1207;533;2020
Oise;86;128;471;566;585;407;174;2020
Orne;25;29;130;100;126;89;52;2020
Pas-de-Calais;136;229;841;876;886;593;242;2020
Puy-de-Dôme;61;119;387;376;332;244;120;2020
Pyrénées-Atlantiques;45;100;360;362;402;328;126;2020
Hautes-Pyrénées;18;28;131;121;120;92;41;2020
Pyrénées-Orientales;78;76;440;387;356;265;139;2020
Bas-Rhin;74;133;613;634;588;469;201;2020
Haut-Rhin;51;98;406;383;390;325;152;2020
Rhône;165;357;1519;1558;1343;959;446;2020
Haute-Saône;20;41;125;107;114;108;40;2020
Saône-et-Loire;46;75;253;246;244;197;96;2020
Sarthe;43;75;293;304;290;206;100;2020
Savoie;33;72;249;268;259;219;109;2020
Haute-Savoie;67;117;488;674;612;479;206;2020
Paris;159;339;1570;2320;1956;1340;704;2020
Seine-Maritime;143;210;752;792;764;545;198;2020
Seine-et-Marne;160;322;1287;1372;1398;1101;485;2020
Yvelines;97;225;865;994;918;826;398;2020
Deux-Sèvres;27;47;155;182;180;120;61;2020
Somme;48;93;386;333;317;217;78;2020
Tarn;23;70;221;243;223;187;79;2020
